Company_Name,Rating,Industry_Type,Headquater_other_Locations,Total Reviews,AvgSalaries,Total_Interviews,Total_Jobs,Total_Benifits,Total_Photos
Thermax Limited,4.2,Industrial Machinery,Pune +198 other locations,3.2k,12.1k,239,42,396,18
Macleods Pharmaceuticals,3.6,Unknown,Mumbai +112 other locations,3.2k,14.7k,197,2,385,3
Access Healthcare,3.9,Analytics & KPO,Chennai +39 other locations,3.2k,21.2k,202,70,297,37
HDFC Ergo General Insurance,4.0,Insurance,Mumbai +275 other locations,3.2k,11.7k,145,2,291,6
Aakash Educational Services,3.5,Education & Training,New Delhi +221 other locations,3.2k,12.2k,306,71,226,19
Hetero,3.9,Pharma,Hyderabad / Secunderabad +53 other locations,3.1k,14k,198,28,349,9
Tata AIA Life Insurance,4.0,Insurance,Mumbai +368 other locations,3.1k,12.7k,166,1.1k,315,17
Publicis Sapient,3.5,IT Services & Consulting,Bangalore / Bengaluru +34 other locations,3.1k,26.8k,609,123,429,36
Cummins,4.3,Industrial Machinery,Pune +94 other locations,3.1k,15k,230,131,489,16
PVR Inox,4.0,Media & Entertainment,New Delhi +140 other locations,3.1k,9.5k,158,26,256,3
Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances,Mumbai +136 other locations,3.1k,15.3k,173,14,433,3
VE Commercial Vehicles,4.0,Automobile,Indore +138 other locations,3.1k,12.8k,210,9,381,7
Utkarsh Small Finance Bank,3.8,Banking,Varanasi +334 other locations,3.1k,9.7k,211,37,278,33
DCB Bank,3.8,Banking,Mumbai +316 other locations,3.1k,9.2k,174,249,257,12
Samvardhana Motherson Group,3.8,Auto Components,Noida +81 other locations,3.1k,12.6k,213,5,423,5
Viatris,4.2,Pharma,Hyderabad / Secunderabad +74 other locations,3k,13.9k,133,2,531,12
Future Group,4.3,Retail,Mumbai +203 other locations,3k,9.7k,76,--,430,3
Subros,3.9,Auto Components,Noida +65 other locations,3k,12.2k,164,--,436,7
Pidilite Industries,4.3,Chemicals,Mumbai +261 other locations,3k,10.5k,197,11,378,1
Berger Paints,3.7,Chemicals,Kolkata +280 other locations,3k,8.9k,256,55,292,11
American Express,4.2,Financial Services,Gurgaon / Gurugram +42 other locations,3k,21.1k,360,192,463,9
Automatic Data Processing (ADP),4.0,Software Product,Hyderabad / Secunderabad +32 other locations,3k,20.1k,229,33,489,15
Indian Oil Corporation,4.4,Oil & Gas,New Delhi +280 other locations,3k,7.7k,236,--,317,26
Abbott,4.1,Pharma,Mumbai +185 other locations,3k,10.9k,145,228,393,8
Square Yards,4.0,Internet,Gurgaon / Gurugram +46 other locations,3k,8.4k,197,15,341,35
Alembic Pharmaceuticals,4.0,Pharma,Vadodara +160 other locations,3k,13.9k,199,59,407,9
Sodexo,4.1,Facility Management Services,Mumbai +142 other locations,3k,9.6k,159,128,392,11
Carelon Global Solutions,4.0,Software Product,Bangalore / Bengaluru +19 other locations,3k,24.3k,354,22,61,7
Bharat Electronics,4.2,Electronics Manufacturing,Bangalore / Bengaluru +64 other locations,3k,11.9k,211,--,334,1
Lenskart,3.2,Internet,New Delhi +194 other locations,2.9k,11k,296,159,222,17
Bank of America,4.3,Banking,Gurgaon / Gurugram +30 other locations,2.9k,24.7k,235,66,447,--
Hindalco Industries,4.2,Metals & Mining,Sambalpur +101 other locations,2.9k,10.4k,208,26,357,9
Reliance Projects & Property Management Services,4.0,IT Services & Consulting,Kolkata +553 other locations,2.9k,5.3k,171,--,35,4
Dabur,4.0,FMCG,New Delhi +280 other locations,2.9k,8.2k,265,29,305,5
Whitehat jr,3.5,EdTech,Mumbai +50 other locations,2.9k,9.5k,311,--,973,3
RBL Bank,3.6,Banking,Mumbai +246 other locations,2.9k,17k,169,70,228,11
Jindal Steel and Power,3.9,Iron & Steel,Angul +142 other locations,2.9k,13.7k,304,21,345,25
Jubilant Foods Works,3.7,Hospitality,New Delhi +215 other locations,2.9k,8.1k,165,53,193,10
Cogent E Services,3.3,Unknown,Noida +44 other locations,2.8k,9.4k,231,--,239,10
Maersk,4.2,Logistics,Pune +41 other locations,2.8k,16.9k,201,137,454,26
Escorts Kubota Limited,4.1,Automobile,Faridabad +139 other locations,2.8k,11.8k,217,4,281,18
Johnson Controls,3.6,Industrial Automation,Pune +50 other locations,2.8k,16k,255,143,308,28
Ford Motor,4.4,Automobile,Chennai +117 other locations,2.8k,14.3k,143,--,409,12
Birlasoft,3.6,IT Services & Consulting,Pune +40 other locations,2.8k,28.4k,287,56,248,8
Alkem Laboratories,3.9,Pharma,Mumbai +173 other locations,2.8k,9.2k,146,19,352,1
Synechron,3.6,IT Services & Consulting,Pune +29 other locations,2.8k,26.8k,358,9,293,10
Glenmark Pharmaceuticals,3.9,Pharma,Mumbai +148 other locations,2.8k,11.2k,130,84,336,1
Reliance Digital,4.1,Retail,Mumbai +334 other locations,2.8k,7.9k,113,--,286,14
Vishal Mega Mart,3.8,Retail,New Delhi +330 other locations,2.8k,6.6k,156,20,278,10
Ipca Laboratories,4.0,Pharma,Mumbai +140 other locations,2.8k,11k,150,30,274,3
Indian Air Force,4.6,Defence & Aerospace,New Delhi +125 other locations,2.8k,5.2k,51,--,380,--
Aarti Industries,4.2,Agro Chemicals,Bharuch +48 other locations,2.8k,13.6k,282,41,394,5
24/7 Customer,3.5,Software Product,Bangalore / Bengaluru +32 other locations,2.8k,13.3k,175,30,446,10
PNB MetLife,3.4,Insurance,New Delhi +364 other locations,2.8k,8k,152,348,231,17
NTT Data Information Processing Services,4.0,IT Services & Consulting,Bangalore / Bengaluru +32 other locations,2.7k,27k,114,54,645,39
Kotak Mahindara Life Insurance,3.8,Insurance,Mumbai +228 other locations,2.7k,11.6k,217,107,275,1
UBS,4.0,Financial Services,Pune +18 other locations,2.7k,28.2k,337,22,166,11
Honda Motorcycle & Scooter,4.1,Automobile,Gurgaon / Gurugram +248 other locations,2.7k,11k,149,--,376,4
JK Cement,4.1,Building Material,New Delhi +270 other locations,2.7k,8.6k,245,2,270,15
DTDC Express,3.8,Logistics,New Delhi +242 other locations,2.7k,8.3k,149,37,275,2
Hindustan Coca Cola Beverages,4.2,Beverage,Bangalore / Bengaluru +232 other locations,2.7k,7.2k,124,33,395,1
MRF Tyres,3.7,Auto Components,Chennai +174 other locations,2.7k,11.5k,294,29,384,7
KPIT Technologies,3.4,Software Product,Pune +35 other locations,2.7k,20.6k,294,100,318,15
HARMAN,3.8,Consumer Electronics & Appliances,Bangalore / Bengaluru +32 other locations,2.7k,23.3k,257,250,131,3
Kyndryl,4.0,IT Services & Consulting,Bangalore / Bengaluru +29 other locations,2.7k,20.7k,163,15,198,24
Paras Hospital,4.5,Healthcare,Patna +53 other locations,2.7k,3k,79,29,159,41
State Street Corporation,3.8,Financial Services,Bangalore / Bengaluru +27 other locations,2.7k,25.9k,219,12,290,10
Reliance Nippon Life Insurance,3.7,Insurance,Mumbai +450 other locations,2.7k,8.3k,129,3,240,12
IGT Solutions,3.3,IT Services & Consulting,New Delhi +42 other locations,2.6k,12.2k,207,97,258,14
Ceat Tyres,4.0,Auto Components,Nagpur +123 other locations,2.6k,12.2k,156,5,370,5
NatWest Group,4.0,Banking,Gurgaon / Gurugram +22 other locations,2.6k,19.3k,198,--,389,9
Conduent,3.5,BPO,Bangalore / Bengaluru +28 other locations,2.6k,17.6k,191,119,389,10
ABB,4.1,Industrial Automation,Bangalore / Bengaluru +96 other locations,2.6k,15.3k,228,--,368,9
UnitedHealth,4.0,Healthcare,Hyderabad / Secunderabad +15 other locations,2.6k,17.9k,83,--,446,--
InterGlobe Aviation,3.6,Aviation,New Delhi +92 other locations,2.6k,12.7k,369,33,332,5
GeBBS Healthcare Solutions,3.7,Healthcare,Mumbai +20 other locations,2.6k,11k,139,24,307,11
Motilal Oswal Financial Services,3.7,Financial Services,Mumbai +142 other locations,2.6k,10.4k,230,68,197,52
Aditya Birla Sun Life Insurance,4.1,Insurance,Mumbai +400 other locations,2.6k,8.7k,132,--,224,23
TVS Credit,4.4,NBFC,Chennai +350 other locations,2.6k,6.4k,99,16,211,2
CMS IT Services,3.1,IT Services & Consulting,Mumbai +144 other locations,2.6k,10.1k,130,7,202,3
RSPL Group,4.1,FMCG,Kanpur +215 other locations,2.5k,9k,185,38,313,6
Alstom Transportation,3.7,Engineering & Construction,Bangalore / Bengaluru +68 other locations,2.5k,12.4k,232,55,197,8
ArcelorMittal Nippon Steel,4.1,Iron & Steel,Surat +74 other locations,2.5k,9.9k,213,5,137,2
Max Healthcare,4.1,Healthcare,New Delhi +65 other locations,2.5k,9.5k,132,98,294,23
Grasim Industries,4.0,Building Material,Bharuch +166 other locations,2.5k,10.6k,205,12,287,6
Tata AIG,4.1,Insurance,Mumbai +238 other locations,2.5k,10.4k,153,124,255,6
PepsiCo,4.1,Food Processing,Hyderabad / Secunderabad +241 other locations,2.5k,11k,197,259,263,5
S&P Global,4.2,Analytics & KPO,Hyderabad / Secunderabad +40 other locations,2.5k,17.7k,271,14,249,--
Tata Capital,4.1,NBFC,Mumbai +249 other locations,2.5k,9.2k,134,757,116,24
Sahrudaya Healthcare (Medicover Hospitals),4.6,Healthcare,Hyderabad / Secunderabad +40 other locations,2.5k,3k,122,52,39,4
ACC,3.9,Building Material,Mumbai +235 other locations,2.5k,9.3k,184,2,288,4
Titan Company,4.3,Retail,Bangalore / Bengaluru +154 other locations,2.5k,8.6k,146,84,360,14
Tata Technologies,3.6,Engineering & Construction,Pune +47 other locations,2.5k,20.3k,252,100,351,13
