Company_Name,Rating,Industry_Type,Locations,AvgSalaries,Total_Interviews,Total_Jobs,Total_Reviews
UST,3.8,IT Services & Consulting,Bangalore / Bengaluru +41 other locations,35800,508,111,4300
Home Credit Finance,4.1,NBFC,Gurgaon / Gurugram +120 other locations,10400,112,58,4300
Eviden,3.6,IT Services & Consulting,Pune +33 other locations,29200,305,52,4200
SMFG India Credit,4,NBFC,Mumbai +525 other locations,10600,154,4,4100
Manappuram Finance,3.9,NBFC,Bangalore / Bengaluru +548 other locations,8000,144,39,4100
OPPO,4,Consumer Electronics & Appliances,Noida +381 other locations,12400,210,17,4100
Nagarro,4,IT Services & Consulting,Gurgaon / Gurugram +40 other locations,27000,776,257,4000
TVS Motor,4,Automobile,Hosur +296 other locations,14600,307,27,4000
Optum,4,Healthcare,Hyderabad / Secunderabad +37 other locations,29700,418,61,4000
SBI Cards & Payment Services,3.7,Financial Services,New Delhi +375 other locations,16000,234,85,4000
IQVIA,3.9,Clinical Research,Bangalore / Bengaluru +52 other locations,27600,461,33,4000
BNY,3.9,Financial Services,Pune +18 other locations,28000,337,140,4000
Swiggy,3.8,Internet,Bangalore / Bengaluru +201 other locations,20600,428,187,4000
Kalpataru Projects International,4.2,Engineering & Construction,Mumbai +271 other locations,12400,229,2,3900
Atos,3.9,IT Services & Consulting,Pune +47 other locations,27800,367,44,3900
Amdocs,3.8,Software Product,Pune +18 other locations,34600,532,175,3900
CBRE,4.2,Real Estate,Hyderabad / Secunderabad +80 other locations,16700,255,57,3800
Persistent Systems,3.5,IT Services & Consulting,Pune +37 other locations,37200,610,157,3800
State Bank of India,3.8,Banking,Mumbai +528 other locations,10800,240,68,3800
Bosch,4.2,Auto Components,Bangalore / Bengaluru +108 other locations,19600,334,311,3800
Hewlett Packard Enterprise,4.2,IT Services & Consulting,Bangalore / Bengaluru +92 other locations,26900,230,36,3800
Hyundai Motor India Limited,4.3,Automobile,Chennai +275 other locations,12700,254,5,3700
SBI Life Insurance Company,3.8,Insurance,Mumbai +572 other locations,11100,226,2,3700
JBM Group,4,Auto Components,Gurgaon / Gurugram +94 other locations,13600,256,38,3700
Dell,4,Consumer Electronics & Appliances,Bangalore / Bengaluru +104 other locations,26800,391,35,3700
Schneider Electric,4.2,Industrial Automation,Bangalore / Bengaluru +111 other locations,21100,357,436,3700
NTT Data,3.9,IT Services & Consulting,Bangalore / Bengaluru +58 other locations,26300,603,222,3700
Ecom Express,3.9,Logistics,Gurgaon / Gurugram +665 other locations,8900,195,17,3700
Marpu Foundation,4.8,Non-Profit,Hyderabad / Secunderabad +55 other locations,46,62,32,3600
ITC Infotech,3.8,IT Services & Consulting,Bangalore / Bengaluru +58 other locations,27900,331,60,3600
KEC International,4.1,Engineering & Construction,Mumbai +277 other locations,11900,290,1,3600
Piramal Capital Housing Finance,4.2,NBFC,Mumbai +355 other locations,9100,181,7,3600
Nagarjuna Construction Company,4.1,Engineering & Construction,Hyderabad / Secunderabad +245 other locations,10800,297,17,3600
PolicyBazaar,3.6,Internet,Gurgaon / Gurugram +110 other locations,14500,342,54,3600
Aditya Birla Fashion and Retail,4.1,Fashion & Textile,Bangalore / Bengaluru +244 other locations,12300,190,17,3500
CARS24,3.6,Internet,Gurgaon / Gurugram +158 other locations,14000,322,69,3500
Oyo Rooms,3.3,Hospitality,Gurgaon / Gurugram +120 other locations,20900,226,48,3500
Varun Beverages,4,Beverage,New Delhi +318 other locations,10600,221,58,3500
Reliance Communications,4,Telecom,Mumbai +441 other locations,11200,89,2,3500
